Title	Year	Score	Runtime	Genre	Rating

Saving Christmas, 	2014, 	1.5/10, 	79 minutes, 	Comedy, 	PG

Ultra Warrior, 	1990, 	1.6/10, 	100 minutes, 	Action, 	R

The Hottie & the Nottie, 	2008, 	1.9/10, 	91 minutes, 	Comedy, 	PG-13

Disaster Movie, 	2008, 	1.9/10, 	87 minutes, 	Comedy, 	PG-13

Superbabies: Baby Geniuses 2, 	2004, 	2/10, 	88 minutes, 	Comedy, 	PG

House of the Dead, 	2003, 	2/10, 	90 minutes, 	Action, 	R

From Justin to Kelly, 	2003, 	2.1/10, 	81 minutes, 	Comedy, 	PG

Son of the Mask, 	2005, 	2.2/10, 	94 minutes, 	Comedy, 	PG

Glitter, 	2001, 	2.2/10, 	104 minutes, 	Drama, 	PG-13

Leonard Part 6, 	1987, 	2.2/10, 	85 minutes, 	Action, 	PG

Epic Movie, 	2007, 	2.3/10, 	86 minutes, 	Adventure, 	PG-13

Alone in the Dark, 	2005, 	2.3/10, 	99 minutes, 	Action, 	R

Chairman of the Board, 	1998, 	2.3/10, 	100 minutes, 	Comedy, 	PG-13

Soultaker, 	1990, 	2.3/10, 	94 minutes, 	Fantasy, 	R

Gigli, 	2003, 	2.4/10, 	121 minutes, 	Comedy, 	R

Battlefield Earth, 	2000, 	2.4/10, 	118 minutes, 	Action, 	PG-13

Santa with Muscles, 	1996, 	2.4/10, 	97 minutes, 	Comedy, 	PG

Lawnmower Man 2: Beyond Cyberspace, 	1996, 	2.4/10, 	93 minutes, 	Action, 	PG-13

Car 54  Where Are You?, 	1994, 	2.4/10, 	89 minutes, 	Comedy, 	PG-13

Rescate explosivo, 	1999, 	2.5/10, 	85 minutes, 	Action, 	PG-13

Dragonball: Evolution, 	2009, 	2.6/10, 	85 minutes, 	Action, 	PG

Baby Geniuses, 	1999, 	2.6/10, 	97 minutes, 	Comedy, 	PG

Ed, 	1996, 	2.6/10, 	94 minutes, 	Comedy, 	PG

It's Pat: The Movie, 	1994, 	2.6/10, 	77 minutes, 	Comedy, 	PG-13

